DocID,Author,Original_Lit_Review,year,Publication_Type,URL,Title,StudyArea,Sampled_Years,Useful,Study Area Photo,Herds,Demographic_Indicator,Notes,Complete,
1,Beauchesne et al.,Yes,2014,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320714001104,Thresholds in the capacity of boreal caribou to cope with cumulative disturbances: Evidence from space use patterns,Rectangle in Quebec? Can be digitized? Or minimum convex polygon of caribou...,2004-2010,No,study area photo,,,Focus was movement patterns,,
2,Beauchesne et al.,Yes,2013,Journal article,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0077514,Disentangling Woodland Caribou Movements in Response to Clearcuts and Roads across Temporal Scales,Identical to ID1,2004-2010,No,study area photo,,,Focus was movement patterns,,
3,Serrouya et al.,Yes,2020,Journal article,https://www.sciencedirect.com/science/article/pii/S0304380019303990#fig0030,Predicting the effects of restoring linear features on woodland caribou populations,Caribou ranges Northern BC and AB,Multiple,No,study area photo,,,Simulation study,,
4,Semeniuk et al.,Yes,2012,Journal article,https://www.sciencedirect.com/science/article/pii/S1878029612000643,Evaluating risk effects of industrial features on woodland caribou habitat selection in west central Alberta using agent-based modelling,Little Smoky range,2004-2005,No,study area photo,,,simulation from 11 caribou,,
5,de Vos & Peterson,Yes,1951,Journal article,https://www.jstor.org/stable/1375665,A Review of the Status of Woodland Caribou (Rangifer caribou) in Ontario,Province of Ontario,Multiple,No,Ontario,,,Too dated,,
6,Shuter & Rodgers,Yes,2012,Journal article,https://septentrio.uit.no/index.php/rangifer/article/view/2267,Delineating demographic units of woodland caribou (Rangifer tarandus caribou) in Ontario: cautions and insights,"Minimum convex polygon of radio-collars, with some approximate deployment locations",1995-2005,No,study area photo,,,Focus was not explicitly demographics,,
7,Hins et al.,No,2009,Journal article,https://www.sciencedirect.com/science/article/pii/S0378112708007330#!,Habitat selection by forest-dwelling caribou in managed boreal forest of eastern Canada: Evidence of a landscape configuration effect,"Rectangle of radio collars, Quebec",2004-2006,No,study area photo,,,Focus was movement. Tracked caribou but only 25 for 2 years,,
8,Johnson & Russel,Yes,2014,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320714002341?via%3Dihub#!,Long-term distribution responses of a migratory caribou herd to human disturbance,Alaska,27 years,No,study area photo,,,Alaska,,
9,Boudreault et al.,Yes,2013,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320712005174,Do forests treated by partial cutting provide growth conditions similar to old-growth forests for epiphytic lichens?,Quebec,2004-2006,No,,,,Not caribou related?,,
10,Faille et al.,Yes,2010,Journal article,https://www.sciencedirect.com/science/article/pii/S0006320710003411,Range fidelity:The missing link between caribou decline and habitat alteration?,Minimum convex polygon in Quebec,2004-2007,No,study area photo,,,,,
