Doc_ID,Species/subspecies,Ecotype/Herd,Author,year,Publication_Type,Topic,Related_Topic,Title,Locality,Region,Province,Telemetry Data,Method,Sampled Years,Analysis,URL,DOI,Cite,Corresponding_Author,Library_Portal,Source,Publication Title,Publication_Abbrev,Publisher,ISNN,Copyright,Query / Element,Remarks
33,Woodland,Mountain,Apps et al.,2013,Journal article,Population Dynamics,Population dynamics,Spatial factors related to mortality and population decline of endangered mountain caribou,Multiple,Southeast British Coulmbia,BC,Y,VHF_GPS radiocollar,22 years,GLM (Generalized Linear Models),https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.601,"
10.1002/jwmg.601","Apps, C.D., Mclellan, B.N., Kinley, T.A., Serrouya, R., Seip, D.R., & Wittmer, H.U. 2013. Spatial factors related to mortality and population decline of endangered mountain caribou. Jour. Wild. Mgmt., 77: 1409-1419. https://doi.org/10.1002/jwmg.601",clayton.apps@telus.net,Scopus,Scopus,Journal of Wildlife Management,J Wildlife Manage,J Wildlife Manage,0022-541X,"© The Wildlife Society, 2013",Population dynamics AND caribou,Mortality Risk Assessments
14,Woodland,Boreal,Armstrong,1998,Journal article,Disturbances,Forest harvesting,Integration of woodland caribou habitat management and forest management in northern Ontario—current status and issues,Provincial FMU,Northern Ontario,ON,N,Habitat status and management,Multiple,"Qualitative analysis, demographic parameters",https://septentrio.uit.no/index.php/rangifer/article/view/1559,10.7557/2.18.5.1559,"Armstrong, T. (E.R). 1998. Integration of woodland caribou habitat management and forest management in northern Ontario - current status and issues. Rangifer, 18(5), 221-230. https://doi.org/10.7557/2.18.5.1559",armstrte@epo.gov.on.ca,Google,Septentrio,Rangifer,Rangifer,Swedish University of Agricultural Sciences,1890-6729,© 2015 Ted (E.R) Armstrong,Cited by others,Caribou habitat management strategy to ensure woodland caribou occupancy  of currently occupied range in northwestern Ontario.
48,Woodland,Boreal,Arsenault,2014,Report,Management & conservation,Management & conservation,Recommendations and Proposed Contributions Towards a Caribou Conservation Plan: Pasquia-Bog Boreal Caribou Population,southern extent of caribou range on the Boreal Plain in Canada (Environment Canada 2012),Saskatchewan-Manitoba provincial boundary,"SK,MB",N,N/A,,Descriptive / data compilation,,,"Arsenault, AA. 2014. Recommendations and proposed contributions towards a caribou conservation plan: Pasquia-Bog boreal caribou population. AMEC Environment & Infrastructure, SX04213_F3098",Al.Arsenault@amec.com,Google Scholar,,,,,,Canadian Boreal Forest Agreement Secretariat (CBFA) SK / Forest Products Association of Canada (FPAC),By author (Abrahams),Canadian Boreal Forest Agreement (CBFA) caribou conservation planning undertook an assessment of the Pasquia-Bog area to characterize the range.
28,Woodland,Boreal,Bastille-Rousseau et al.,2013,Journal article,Population Dynamics,Population dynamics,Population decline in semi-migratory caribou (Rangifer tarandus): intrinsic or extrinsic drivers?,Multiple,Provincial,NL,Y,Historical data _Air counts,1960-2008,"Spectral analysis, nonlinear time-series modeling, pairwise correlations ",https://cdnsciencepub.com/doi/full/10.1139/cjz-2013-0154#refg58,10.1139/cjz-2013-0154,"Bastille-Rousseau G., Schaefer J.A., Mahoney S.P., & Murray D. L. 2013. Population decline in semi-migratory caribou (Rangifer tarandus): intrinsic or extrinsic drivers?. Canadian Journal of Zoology. 91(11): 820-828. https://doi.org/10.1139/cjz-2013-0154",gbastillerousseau@hotmail.com,Google Scholar,Canadian Journal of Zoology,Canadian Journal of Zoology,Can. J. Zool.,,0008-4301,©2013 Canadian Science Publishing,Cited by others,Evaluating intrinsic factors affecting caribou abundance
1,Woodland,Boreal,Beauchesne et al.,2014,Journal article,Disturbances,Cumulative disturbances,Thresholds in the capacity of boreal caribou to cope with cumulative disturbances: Evidence from space use patterns,North of Lac Saint-Jean and Saguenay River,South-Eastern Quebec,QC,Y,GPS-collar,2004-2010,Generalized linear mixed models,https://www.sciencedirect.com/science/article/pii/S0006320714001104,10.1016/j.biocon.2014.03.002,"Beauchesne D., Jaeger J. A.G., St-Laurent M.-H. 2014. Thresholds in the capacity of boreal caribou to cope with cumulative disturbances: Evidence from space use patterns. Biological Conservation (172): 190-199",david_beauchesne@uqar.ca,Google Schoolar,Google,Biological Conservation,Biol. Conserv.,Science Direct,0006-3207,,Cited by others,Evidence of thresholds in the capacity of female caribou to cope with cumulative disturbances
2,Woodland,Boreal,Beauchesne et al.,2013,Journal article,Disturbances,Forest harvesting,Disentangling Woodland Caribou Movements in Response to Clearcuts and Roads across Temporal Scales,North of the Saguenay-Lac Saint-Jean region,South-Eastern Quebec,QC,Y,GPS-collar,2004-2010,"Step Selection Function (conditional logistic regression), Spearman rank correlation",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0077514,10.1371/journal.pone.0077514,"Beauchesne D, Jaeger JA, St-Laurent M-H. 2013. Disentangling Woodland Caribou Movements in Response to Clearcuts and Roads across Temporal Scales. PLoS ONE 8(11): e77514",david_beauchesne@uqar.ca,Google Schoolar,Google,PlosOne,PloS ONE,PloS ONE,1932-6203,© 2013 Beauchesne et al.,Cited by others,Assesment of  fine-scale movements modification in the presence of forest management features (i.e. clearcuts and roads).
56,Woodland,Montane Torngat Mountains population,Bélanger et al.,2019,Journal article,Population Dynamics,Population dynamics,,"Ungava Peninsula of eastern Québec, northern Labrador",Northeastern Quebec and Labrador,"QC, NL",Y,GPS-collar,2011-2016,"Demographic models, Resource Selection Functions (Generalized linear mixed models)",https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21583,10.1002/jwmg.21583,"Bélanger, É., Leblond, M., & Côté, S. D. 2019. Habitat selection and population trends of the torngat mountains caribou herd. The Journal of Wildlife Management, 83(2), 379-392. https://doi.org/10.1002/jwmg.21583",,NRCan Library,Scopus,Journal of Wildlife Management,J WILDLIFE MANAGE,"Wiley Subscription Services, Inc",0022-541X,"©The Wildlife Society, 2018, Copyright 2019 Elsevier B.V., All rights reserved.",Caribou AND disturbance AND demographics,"Seasonal habitat selection at 2 spatial scales, current and future population trends, and interactions with the neighboring Rivière?George migratory caribou herd."
17,Woodland,Boreal,Bergerud,1974,Journal article,Population Dynamics,Population dynamics,Decline of caribou in North America following settlement,Continental,North America,NA,N,N/A,Multiple,Descriptive / data compilation/ correlation,https://www.jstor.org/stable/3800042?seq=1#metadata_info_tab_contents,10.2307/3800042,Bergerud A. T. 1974. Decline of caribou in North America following settlement. Journal of Wildlife Management 38: 757-770,atbergerud@live.com (He is now retired so I amnot sure if this is still available),Google,Jstor,Journal of Wildlife Management,J Wildlife Manage,J Wildlife Manage,0022-541X,© 1974 Wiley,Cited by others,Evaluation of hypotheses relative to caribou decline in North America.  Support increased hunting mortality and natural predation as the most reliable hypothesis. Time frame 1800s and early 1900s
9,Woodland,Boreal,Boudreault et al.,2013,Journal article,Disturbances,Forest harvesting,Do forests treated by partial cutting provide growth conditions similar to old-growth forests for epiphytic lichens?,"Northern Clay Belt, Abitibi region",South-western Quebec,QC,N,N/A,2004-2006,"Lichen growth (ANOVA), viability analysis, 2-way ANOVA",https://www.sciencedirect.com/science/article/pii/S0006320712005174,10.1016/j.biocon.2012.12.019,"Boudreault, C., Coxson, D, Bergeron, Y., Stevenson, S., & Bouchard, M. 2013. Do forests treated by partial cutting provide growth conditions similar to old-growth forests for epiphytic lichens? Biological Conservation (159): 458-467. ISSN 0006-3207. https://doi.org/10.1016/j.biocon.2012.12.019 (http://www.sciencedirect.com/science/article/pii/S0006320712005174)",boudreault.catherine@courrier.uqam.ca,Google,ScienceDirect,Biological Conservation,Biol. Conserv.,Elsevier,0006-3207,© 2013 Elsevier Ltd. All rights reserved.,Cited by others,Study comparing lichen growth between parcial cut and  untreated control plots (Quebec). Epiphytic lichen species are more likely to succeed if dense clumps of residual trees (canopy cover > 70%) are retained in the treated stands.
23,Woodland,Boreal,Bradshaw et al.,1997,Journal article,Disturbances,Industrial,Effects of petroleum exploration on woodland caribou in northeastern Alberta,Northeastern Alberta,Northeastern Alberta,AB,Y,VHF/ radio-collars,1993-1994,"ANOVA (movement rates, displacement, habitat-patch changes, feeding proportions), General Linear Models",https://www.jstor.org/stable/3802110,10.2307/3802110,"Bradshaw, C.J.A., S. Boutin and D.M. Hebert. 1997. Effects of petroleum exploration on woodland caribou in northeastern Alberta. Journal of Wildlife Management 61: 1127-1133. (cited by Gordon Smith 2004)",,Google,JStor,Journal of Wildlife Management,J Wildlife Manage,J Wildlife Manage,0022-541X,© 1997Wiley,Cited by others,"Noise disturbance and caribou's rate movement, displacement, proportion of feeding time, and habitat patch change."
